region,year,population,growth_rate
Region A,2010,500000,1.5
Region B,2011,520000,1.8
Region C,2012,540000,1.7
Region D,2013,560000,1.6
Region E,2014,580000,1.9
Region F,2015,600000,2.0
Region G,2016,620000,1.5
Region H,2017,640000,1.4
Region I,2018,660000,1.6
Region J,2019,680000,1.8
Region Hn,2001,734049,1.13
Region Pn,2017,395780,1.15
Region Ej,2013,503233,1.33
Region Ye,2011,742874,1.07
Region U,2022,666081,1.49
Region Tp,2010,812199,1.83
Region Om,2000,134340,1.89
Region M,2010,138705,1.16
Region Sl,1996,172113,1.03
Region P,1998,383818,1.06
Region V,2021,719110,1.16
Region Te,2019,145251,1.85
Region T,1999,451451,1.48
Region Cl,2008,757037,1.4
Region W,2005,500802,1.83
Region Tb,2010,328913,1.97
Region X,2020,283915,1.99
Region Au,2019,100612,1.73
Region Qv,2008,159591,1.4
Region Q,2009,695857,1.35
Region Uj,1997,387197,1.27
Region R,2010,171218,1.3
Region Jn,2015,707886,1.2
Region Gy,2009,153020,1.52
Region Ti,2004,194718,1.69
Region Ji,1996,505529,1.96
Region Id,1996,553692,1.08
Region Qn,2011,767666,1.14
Region Vz,2017,358381,1.31
Region Yp,2013,680871,1.15
Region Jv,2021,993079,1.82
Region Qq,2003,312709,1.89
Region Y,1999,746300,1.14
Region Gc,2016,855811,1.96
Region Uk,2019,857851,1.15
Region Nn,2014,209518,1.2
Region Ah,2015,770215,1.27
Region Py,2010,706062,1.1
Region Vk,2006,513985,1.73
Region De,2017,299406,1.71
Region At,1996,974124,1.54
Region S,2018,641838,1.85
Region In,2022,492413,1.51
Region Vo,2016,871536,1.12
Region Lr,2008,333479,1.5
Region Zg,2018,734850,1.18
Region Ls,1995,205995,1.21
Region N,2017,889616,1.27
Region Oj,2001,603152,1.24
Region Rw,2012,651800,1.69
Region Cg,2007,436836,1.67
Region Wd,2001,336031,1.34
Region Gz,2016,461588,1.9
Region Lv,2020,123693,1.24
Region Ju,2021,209111,1.59
Region O,2006,991206,1.06
Region Qc,1996,320898,1.86
Region Sp,2000,192230,1.54
Region Lt,1995,672251,1.2
Region Hv,1997,539311,1.13
Region Fo,2022,825017,1.57
Region Ss,2009,631861,1.37
Region Ct,2014,163486,1.01
Region Hj,2012,642433,1.2
Region K,2005,483172,1.38
Region Hh,2018,925998,1.79
Region Dq,1996,395423,1.46
Region Hp,2006,911205,1.66
Region Lz,1997,504367,1.26
Region Wp,2024,685891,1.27
